Please ONLY fill out this survey if you are a current freshman.,Blocking group size,Adams,Cabot,Currier,Dunster,Eliot,Kirkland,Leverett,Lowell,Mather,Pfoho,Quincy,Winthrop,Gender:,Ethnicity,Dorm:,Anticipated Concentration (select all that apply),Are you an athlete?
I am currently a freshman at Harvard.,5,2,10,8,4,3,12,6,1,11,9,5,7,Female,Black or African American,Greenough,Government,No
I am currently a freshman at Harvard.,6,4,12,11,3,6,9,8,1,7,10,5,2,Female,"White,Asian",Weld,Uncertain,No
I am currently a freshman at Harvard.,8,5,10,12,7,3,8,4,1,9,11,6,2,Female,Middle Eastern or North African,Straus,Government,No
I am currently a freshman at Harvard.,7,12,6,8,11,10,9,5,2,3,7,4,1,Female,Black or African American,Matthews,Government,No
I am currently a freshman at Harvard.,8,2,10,12,4,3,9,6,1,8,11,7,5,Female,White,Lionel,"Applied Mathematics,Human Developmental and Regenerative Biology",No
I am currently a freshman at Harvard.,5,7,10,11,6,9,8,5,2,3,12,1,4,Male,"White,American Indian or Alaska Native",Apley,    Social Studies,No
I am currently a freshman at Harvard.,7,2,10,5,8,6,11,4,12,3,9,7,1,Male,Asian,Thayer,Uncertain,No
I am currently a freshman at Harvard.,8,2,12,10,7,6,8,5,1,9,11,3,4,Female,Asian,Canaday,Uncertain,No
I am currently a freshman at Harvard.,6,4,12,5,9,3,8,10,1,11,7,6,2,Female,"White,Asian",Weld,Uncertain,No
I am currently a freshman at Harvard.,8,1,5,2,6,10,7,11,12,8,3,4,9,Female,White,Apley,History and Literature,No
I am currently a freshman at Harvard.,6,4,11,12,5,7,8,9,2,6,10,1,3,Female,Hispanic or Latino,Weld,Government,No
I am currently a freshman at Harvard.,2,8,11,12,6,4,7,9,5,2,10,3,1,Female,"White,Black or African American",Stoughton,Uncertain,Yes
I am currently a freshman at Harvard.,8,4,10,9,2,12,7,8,1,3,11,6,5,Male,White,Canaday,"Uncertain,Chemistry",No
I am currently a freshman at Harvard.,7,3,10,6,5,7,11,8,2,9,12,4,1,Female,Asian,Wigglesworth,    Neurobiology,No
I am currently a freshman at Harvard.,4,2,12,11,4,1,6,10,3,8,9,7,5,Female,White,Straus,"    Music,    Philosophy",No
I am currently a freshman at Harvard.,8,8,12,11,4,7,6,5,1,9,10,3,2,Female,Asian,Lionel,Biomedical Engineering,No
I am currently a freshman at Harvard.,5,3,7,9,6,1,5,4,2,11,12,10,8,Female,White,Grays,    Molecular and Cellular Biology,Yes
I am currently a freshman at Harvard.,8,3,12,10,5,7,8,6,2,9,11,4,1,Female,Black or African American,Greenough,"African and American Studies,Chemistry",No
I am currently a freshman at Harvard.,8,4,10,9,3,6,7,12,1,11,8,5,2,Male,Black or African American,Straus,    Molecular and Cellular Biology,No
I am currently a freshman at Harvard.,8,2,3,11,5,7,4,8,6,12,1,10,9,Female,White,Weld," Human Evolutionary Biology,    Philosophy",No
I am currently a freshman at Harvard.,8,1,12,10,8,5,6,7,3,9,11,4,2,Male,"White,American Indian or Alaska Native",Grays,    Social Studies,No
I am currently a freshman at Harvard.,7,3,12,10,8,5,6,7,1,2,11,4,9,Female,"White,Asian",,Uncertain,No
I am currently a freshman at Harvard.,6,4,5,6,7,8,9,10,1,3,11,12,2,Female,Black or African American,Canaday,    Neurobiology,No
I am currently a freshman at Harvard.,8,3,12,10,4,5,9,8,1,7,11,6,2,Male,White,Matthews,    Mechanical Engineering,Yes
I am currently a freshman at Harvard.,8,2,11,10,6,4,8,7,1,9,12,5,3,Female,Asian,Matthews,Applied Mathematics,No
I am currently a freshman at Harvard.,4,3,11,9,4,8,6,5,1,12,10,2,7,Male,Asian,Matthews,"Chemical and Physical Biology,    Molecular and Cellular Biology",No
I am currently a freshman at Harvard.,7,4,6,10,9,2,1,11,5,12,7,8,3,Female,White,Matthews,    Integrative Biology,No
I am currently a freshman at Harvard.,5,7,11,12,2,4,8,5,1,10,9,6,3,Female,Asian,Matthews,Economics,No
I am currently a freshman at Harvard.,5,9,10,11,7,6,5,8,1,4,12,3,2,Female,White,Matthews,Government,Yes
I am currently a freshman at Harvard.,2,6,11,12,1,8,9,2,4,3,10,7,5,Male,White,Canaday,Environmental Science and Public Policy,Yes
I am currently a freshman at Harvard.,4,5,8,9,4,10,12,6,1,7,2,11,3,,"White,Hispanic or Latino",Matthews,Computer Science,No
